Customer_ID,Age,Gender,City,Membership_Type,PreferredLoginDevice,Average_Rating,Last_Purchase_Date,Last_Purchase,Satisfaction Level,Product Category,Total Purchase Amount,Churn
1001,24,Female,Miami,Silver,Computer,4.7,28/12/2023,10,Satisfied,Home,434,0
1002,27,Female,Houston,Bronze,Computer,3.1,19/12/2023,19,Neutral,Books,3502,0
1003,49,Male,Los Angeles,Silver,Mobile Phone,4.7,14/12/2023,24,Satisfied,Books,4129,0
1004,49,Male,New York,Gold,Mobile Phone,3.1,15/12/2023,23,Neutral,Clothing,4423,0
1005,46,Female,Los Angeles,Silver,Mobile Phone,4.3,24/12/2023,14,Neutral,Clothing,4354,0
1006,46,Female,Chicago,Bronze,Mobile Phone,3.6,27/11/2023,41,Unsatisfied,Books,1573,0
1007,37,Female,Los Angeles,Silver,Mobile Phone,3.6,29/11/2023,39,Unsatisfied,Electronics,3507,0
1008,55,Male,Miami,Silver,Mobile Phone,4.8,25/12/2023,13,Satisfied,Clothing,3124,0
1009,60,Male,Chicago,Bronze,Mobile Phone,4.2,20/12/2023,18,Neutral,Home,1153,0
1010,60,Male,San Francisco,Gold,Mobile Phone,3.3,21/11/2023,47,Unsatisfied,Clothing,2837,0
1011,60,Male,Houston,Bronze,Computer,4.1,6/11/2023,62,Unsatisfied,Clothing,2527,0
1012,60,Male,Los Angeles,Silver,Computer,4.5,11/12/2023,27,Satisfied,Home,1011,0
1013,60,Male,Miami,Silver,Mobile Phone,4.6,24/12/2023,14,Satisfied,Home,383,0
1014,66,Male,Houston,Bronze,Mobile Phone,4.6,25/12/2023,13,Satisfied,Electronics,4623,0
1015,47,Male,San Francisco,Gold,Mobile Phone,4.3,25/12/2023,13,Neutral,Home,4980,0
1016,49,Male,Houston,Bronze,Mobile Phone,3.8,30/11/2023,38,Unsatisfied,Electronics,1261,1
1017,49,Male,New York,Gold,Mobile Phone,3,16/12/2023,22,Neutral,Electronics,4198,1
1018,28,Male,Chicago,Bronze,Computer,3.5,1/12/2023,37,Unsatisfied,Books,970,0
1019,33,Female,Los Angeles,Silver,Computer,4.3,26/12/2023,12,Neutral,Clothing,712,1
1020,33,Female,Chicago,Bronze,Mobile Phone,3.6,30/11/2023,38,Unsatisfied,Electronics,1871,1
1021,68,Male,Los Angeles,Silver,Computer,4.3,26/12/2023,12,Neutral,Home,2473,0
1022,68,Male,New York,Gold,Mobile Phone,4.5,11/12/2023,27,Satisfied,Electronics,1087,0
1023,68,Male,Chicago,Bronze,Mobile Phone,3.6,30/11/2023,38,Unsatisfied,Electronics,516,0
1024,35,Male,New York,Gold,Mobile Phone,4.5,8/12/2023,30,Satisfied,Home,1645,1
1025,35,Male,Houston,Bronze,Computer,3.4,14/12/2023,24,Neutral,Electronics,3981,1
1026,48,Female,Miami,Silver,Mobile Phone,4.5,12/12/2023,26,Satisfied,Books,3453,0
1027,19,Female,Houston,Bronze,Computer,4.6,24/12/2023,14,Satisfied,Home,1916,0
1028,19,Female,New York,Gold,Computer,4.1,6/11/2023,62,Unsatisfied,Electronics,1410,0
1029,28,Male,Chicago,Bronze,Mobile Phone,4.3,18/12/2023,20,Neutral,Clothing,3986,0
1030,28,Male,Los Angeles,Silver,Mobile Phone,4.5,3/12/2023,35,Satisfied,Electronics,3604,0
1031,20,Female,Miami,Silver,Mobile Phone,4.1,14/11/2023,54,Unsatisfied,Home,2855,0
1032,59,Male,Houston,Bronze,Computer,3,20/12/2023,18,Neutral,Electronics,5281,0
1033,43,Female,Los Angeles,Silver,Mobile Phone,4.3,25/12/2023,13,Neutral,Home,4936,0
1034,53,Female,Los Angeles,Silver,Mobile Phone,4.4,16/12/2023,22,Satisfied,Clothing,3766,0
1035,20,Male,Miami,Silver,Computer,4.8,23/12/2023,15,Satisfied,Home,3839,0
1036,20,Female,Houston,Bronze,Mobile Phone,4,15/11/2023,53,Unsatisfied,Electronics,975,1
1037,20,Female,Miami,Silver,Computer,4.8,26/12/2023,12,Satisfied,Books,4242,1
1038,36,Female,New York,Gold,Computer,4.1,14/11/2023,54,Unsatisfied,Clothing,5064,1
1039,36,Female,Houston,Bronze,Computer,4.8,25/12/2023,13,Satisfied,Home,897,1
1040,70,Male,Miami,Silver,Computer,3.7,20/11/2023,48,Unsatisfied,Home,3742,0
1041,70,Male,San Francisco,Gold,Mobile Phone,4.9,27/12/2023,11,Satisfied,Home,1687,0
1042,66,Male,Houston,Bronze,Mobile Phone,3.1,14/12/2023,24,Neutral,Electronics,4409,1
1043,63,Female,New York,Gold,Computer,3.1,10/12/2023,28,Neutral,Clothing,2399,0
1044,63,Female,Los Angeles,Silver,Mobile Phone,4.7,10/12/2023,28,Satisfied,Books,2713,0
1045,63,Female,Chicago,Bronze,Mobile Phone,4.1,19/12/2023,19,Neutral,Books,460,0
1046,63,Female,San Francisco,Gold,Mobile Phone,3.3,20/11/2023,48,Unsatisfied,Electronics,435,0
1047,39,Male,New York,Gold,Mobile Phone,3.6,28/11/2023,40,Unsatisfied,Electronics,3178,0
1048,49,Male,Miami,Silver,Mobile Phone,3.9,21/11/2023,47,Unsatisfied,Clothing,537,0
1049,24,Female,Houston,Bronze,Mobile Phone,3.1,19/12/2023,19,Neutral,Electronics,4620,0
1050,24,Female,New York,Gold,Computer,4.5,18/12/2023,20,Satisfied,Clothing,2082,0
1051,36,Male,Los Angeles,Silver,Computer,4.2,24/12/2023,14,Satisfied,Electronics,2948,0
1052,36,Male,Chicago,Bronze,Mobile Phone,3.5,1/12/2023,37,Unsatisfied,Books,1174,0
1053,30,Female,Chicago,Bronze,Mobile Phone,3.3,28/11/2023,40,Unsatisfied,Clothing,5095,0
1054,56,Female,New York,Gold,Mobile Phone,3.4,14/12/2023,24,Neutral,Clothing,842,1
1055,56,Female,Chicago,Bronze,Mobile Phone,4.3,25/12/2023,13,Neutral,Electronics,2325,1
1056,56,Female,Los Angeles,Silver,Mobile Phone,4.5,12/12/2023,26,Satisfied,Clothing,3887,1
1057,47,Female,San Francisco,Gold,Mobile Phone,3.6,29/11/2023,39,Unsatisfied,Home,4606,0
1058,47,Female,Chicago,Bronze,Computer,4.3,25/12/2023,13,Neutral,Home,768,0
1059,38,Male,San Francisco,Gold,Mobile Phone,3.6,24/11/2023,44,Unsatisfied,Clothing,5125,0
1060,38,Male,Miami,Silver,Computer,4.9,26/12/2023,12,Satisfied,Home,5092,0
1061,67,Female,Los Angeles,Silver,Computer,4.2,22/12/2023,16,Neutral,Electronics,4906,1
1062,67,Female,New York,Gold,Mobile Phone,4.8,20/12/2023,18,Satisfied,Books,2609,1
1063,49,Male,San Francisco,Gold,Computer,4.2,17/12/2023,21,Neutral,Books,2113,0
1064,49,Male,Chicago,Bronze,Computer,4.5,10/12/2023,28,Satisfied,Clothing,3964,0
1065,49,Male,Miami,Silver,Mobile Phone,3.3,19/11/2023,49,Unsatisfied,Electronics,1140,0
1066,65,Male,Chicago,Bronze,Mobile Phone,4.3,26/12/2023,12,Neutral,Electronics,4169,0
1067,59,Male,Los Angeles,Silver,Computer,4.3,25/12/2023,13,Neutral,Clothing,2440,0
1068,59,Male,New York,Gold,Mobile Phone,4.5,11/12/2023,27,Satisfied,Books,3943,0
1069,59,Female,San Francisco,Gold,Mobile Phone,4.8,27/12/2023,11,Satisfied,Home,2987,1
1070,58,Female,Chicago,Bronze,Mobile Phone,4.3,18/12/2023,20,Neutral,Books,3796,1
1071,68,Female,San Francisco,Gold,Mobile Phone,4.7,28/12/2023,10,Satisfied,Books,2793,0
1072,28,Male,Houston,Bronze,Mobile Phone,3,20/12/2023,18,Neutral,Clothing,352,0
1073,28,Male,Miami,Silver,Computer,3.8,6/12/2023,32,Unsatisfied,Electronics,665,0
1074,68,Male,Chicago,Bronze,Mobile Phone,4.2,24/12/2023,14,Satisfied,Home,1885,1
1075,68,Male,Los Angeles,Silver,Mobile Phone,4.5,18/12/2023,20,Satisfied,Clothing,3517,1
1076,51,Male,Los Angeles,Silver,Mobile Phone,4.1,21/12/2023,17,Neutral,Books,1724,0
1077,40,Male,Los Angeles,Silver,Mobile Phone,3.2,14/12/2023,24,Neutral,Home,3264,0
1078,40,Male,Chicago,Bronze,Mobile Phone,4.4,16/12/2023,22,Satisfied,Electronics,3140,0
1079,58,Female,San Francisco,Gold,Mobile Phone,4.6,26/12/2023,12,Satisfied,Clothing,1314,0
1080,69,Female,San Francisco,Gold,Mobile Phone,4.9,29/12/2023,9,Satisfied,Clothing,2948,0
1081,31,Male,San Francisco,Gold,Mobile Phone,4.1,14/11/2023,54,Unsatisfied,Home,2481,1
1082,31,Male,Houston,Bronze,Mobile Phone,4.6,11/12/2023,27,Satisfied,Clothing,1820,1
1083,31,Male,Miami,Silver,Mobile Phone,3.4,15/12/2023,23,Neutral,Books,2198,1
1084,39,Male,New York,Gold,Mobile Phone,4.4,16/12/2023,22,Satisfied,Electronics,3095,1
1085,39,Male,Houston,Bronze,Computer,3.2,14/12/2023,24,Neutral,Books,3505,1
1086,46,Female,Chicago,Bronze,Mobile Phone,4.7,19/12/2023,19,Satisfied,Home,3969,0
1087,46,Female,San Francisco,Gold,Mobile Phone,4,23/12/2023,15,Neutral,Clothing,699,0
1088,62,Female,Houston,Bronze,Mobile Phone,4.1,14/11/2023,54,Unsatisfied,Books,3596,0
1089,62,Female,New York,Gold,Mobile Phone,3.4,15/12/2023,23,Neutral,Home,511,0
1090,43,Female,Miami,Silver,Mobile Phone,3.8,29/11/2023,39,Unsatisfied,Home,4899,0
1091,40,Male,Chicago,Bronze,Mobile Phone,3.9,21/11/2023,47,Unsatisfied,Electronics,2219,1
1092,40,Male,San Francisco,Gold,Mobile Phone,3.2,14/12/2023,24,Neutral,Home,2852,1
1093,40,Male,Miami,Silver,Computer,4.4,16/12/2023,22,Satisfied,Books,3271,1
1094,40,Male,Houston,Bronze,Mobile Phone,4.1,21/12/2023,17,Neutral,Home,3941,1
1095,40,Male,New York,Gold,Mobile Phone,3.3,28/11/2023,40,Unsatisfied,Books,1059,1
1096,40,Male,Los Angeles,Silver,Mobile Phone,4.7,28/12/2023,10,Satisfied,Home,3464,1
1097,50,Male,San Francisco,Gold,Computer,4.8,25/12/2023,13,Satisfied,Electronics,1632,0
1098,28,Male,Los Angeles,Silver,Mobile Phone,4.5,12/12/2023,26,Satisfied,Electronics,2847,0
1099,28,Male,Chicago,Bronze,Mobile Phone,4.3,26/12/2023,12,Neutral,Electronics,837,0
1100,56,Female,Miami,Silver,Mobile Phone,3.8,6/12/2023,32,Unsatisfied,Electronics,4245,0
1101,56,Female,San Francisco,Gold,Mobile Phone,4.9,29/12/2023,9,Satisfied,Books,1784,0
1102,39,Male,Miami,Silver,Computer,3.9,21/11/2023,47,Unsatisfied,Clothing,969,1
1103,45,Female,Houston,Bronze,Mobile Phone,3.1,17/12/2023,21,Neutral,Electronics,953,0
1104,59,Female,San Francisco,Gold,Computer,4.9,28/12/2023,10,Satisfied,Books,4838,1
